W/B,MK,B,SP,UV,CS
0.40,0,50,2,4070.00,55.35
0.40,0,50,2,4016.67,62.25
0.40,0,50,2,4053.33,41.04
0.40,0,50,2,4100.00,58.00
0.40,0,50,2,4076.67,50.35
0.40,0,50,2,4040.00,46.48
0.40,0,50,2,4090.00,61.49
0.40,0,50,2,4016.67,62.25
0.40,0,30,2,4006.67,62.35
0.40,0,30,2,4080.00,66.72
0.40,0,30,2,4040.00,57.17
0.41,5,31,2,3900.00,27.87
0.42,5,32,2,3900.00,59.44
0.43,5,33,2,4053.33,56.03
0.44,5,34,2,4040.00,31.48
0.45,5,35,2,4016.67,38.16
0.40,5,50,2,3913.33,49.36
0.40,5,50,2,3931.67,48.30
0.40,5,50,2,3900.00,48.86
0.40,5,50,2,3980.00,49.01
0.40,5,50,2,3840.00,41.86
0.40,5,50,2,3900.00,39.87
0.40,5,50,2,3931.67,48.30
0.40,5,50,2,3810.00,59.82
0.40,3,30,2,4090.00,62.01
0.40,3,30,2,4053.33,59.44
0.40,3,30,2,4053.33,59.44
0.40,3,30,2,4070.00,58.03
0.40,3,30,2,4003.33,60.87
0.40,3,30,2,3966.67,46.26
0.40,3,30,2,4023.33,63.05
0.40,3,30,2,3986.67,51.67
0.40,10,50,2,3926.67,76.90
0.40,10,50,2,3831.67,56.03
0.40,10,50,2,3763.33,68.21
0.40,10,50,2,3810.00,72.48
0.40,10,50,2,3873.33,68.86
0.40,10,50,2,3831.67,56.03
0.40,10,50,2,3746.67,71.26
0.40,10,50,2,3756.67,71.57
0.40,6,30,2,3886.67,64.65
0.40,6,30,2,3820.00,72.68
0.40,6,30,2,3906.67,74.34
0.40,6,30,2,3880.00,67.92
0.40,6,30,2,3903.33,75.77
0.40,6,30,2,3863.33,70.94
0.40,6,30,2,3886.67,64.65
0.40,6,30,2,3890.00,60.81
0.70,0,50,0,3523.33,27.87
0.70,0,50,0,3353.33,22.53
0.70,0,50,0,3333.33,25.16
0.70,0,50,0,3381.67,26.68
0.70,0,50,0,3356.67,25.18
0.70,0,50,0,3376.67,28.75
0.70,0,50,0,3381.67,26.68
0.70,0,30,0,3486.67,26.72
0.70,0,30,0,3670.00,28.63
0.70,0,30,0,3536.67,23.53
0.70,0,30,0,3343.33,26.07
0.70,0,30,0,3516.67,28.83
0.70,0,30,0,3486.67,26.44
0.70,0,30,0,3436.67,28.06
0.70,0,30,0,3413.33,33.32
0.70,5,50,0,3303.33,35.60
0.70,5,50,0,3406.67,31.48
0.70,5,50,0,3303.33,31.61
0.70,5,50,0,3333.33,32.59
0.70,5,50,0,3533.33,30.51
0.70,5,50,0,3383.33,32.99
0.70,5,50,0,3333.33,32.59
0.70,5,50,0,3373.33,32.71
0.70,3,30,0,3473.33,31.53
0.70,3,30,0,3530.00,30.69
0.70,3,30,0,3516.67,31.00
0.70,3,30,0,3473.33,29.55
0.70,3,30,0,3420.00,29.43
0.70,3,30,0,3493.33,33.11
0.70,3,30,0,3500.00,30.44
0.70,3,30,0,3446.67,35.51
0.70,10,50,0,3386.67,40.78
0.70,10,50,0,3396.67,44.13
0.70,10,50,0,3386.67,38.48
0.70,10,50,0,3416.67,38.33
0.70,10,50,0,3416.67,38.33
0.70,10,50,0,3386.67,38.28
0.70,10,50,0,3373.33,39.71
0.70,10,50,0,3426.67,41.75
0.70,6,30,0,3473.33,35.68
0.70,6,30,0,3466.67,34.94
0.70,6,30,0,3480.00,33.27
0.70,6,30,0,3423.33,35.82
0.70,6,30,0,3456.67,39.31
0.70,6,30,0,3440.00,38.16
0.70,6,30,0,3446.67,33.79
0.70,6,30,0,3400.00,35.49
1.00,0,50,0,2996.67,12.21
1.00,0,50,0,3076.67,15.41
1.00,0,50,0,3216.67,17.39
0.7,10,30,2,4023.33,16.56
0.7,10,30,2,3116.67,40.78
0.7,10,30,2,2996.67,31.48
0.7,10,30,0,4023.33,19.54
0.7,10,50,0,2896.67,20.24
1,3,50,0,3023.33,14.86
1,3,50,0,3473.33,20.84
1,3,50,2,4100.00,33.79
1,3,50,2,3880.00,14.89
1,3,30,2,4070.00,35.82
1.00,5,50,0,3040.00,14.37
1.00,5,50,0,2933.33,14.67
1.00,5,50,0,3010.00,14.74
1.00,3,30,0,3116.67,16.13
1.00,3,30,0,3350.00,20.84
1.00,3,30,0,3130.00,14.28
1.00,3,30,0,2993.33,14.16
1.00,3,30,0,3180.00,14.42
1.00,3,30,0,3006.67,15.60
1.00,3,30,0,3063.33,15.74
1.00,10,50,0,2906.67,19.00
1.00,10,50,0,2983.33,20.26
1.00,10,50,0,2896.67,19.60
1.00,10,50,0,3060.00,16.73
1.00,10,50,0,2890.00,18.38
1.00,10,50,0,3023.33,19.54
1.00,10,50,0,2930.00,17.85
1.00,10,50,0,2896.67,18.82
1.00,6,30,0,3070.00,16.67
1.00,6,30,0,3003.33,20.24
1.00,6,30,0,3013.33,17.89
1.00,6,30,0,3086.67,14.86
1.00,6,30,0,2926.67,18.16
1.00,6,30,0,3046.67,17.95
1.00,6,30,0,2986.67,14.92
1.00,6,30,0,2983.33,14.89
0.40,0,30,2,4100.00,60.79
0.40,0,30,2,4000.00,50.36
0.40,0,30,2,4070.00,64.64
0.40,0,30,2,4040.00,57.17
0.40,0,30,2,4063.33,50.66
1.00,0,50,0,3086.67,16.39
1.00,0,50,0,3026.67,15.05
1.00,0,30,0,3430.00,17.21
1.00,0,30,0,3233.33,15.52
1.00,0,30,0,3173.33,16.56
1.00,0,30,0,3083.33,15.28
1.00,5,50,0,3163.33,17.32
1.00,5,50,0,3230.00,16.03
1.00,5,50,0,3053.33,18.64
1.00,5,50,0,3180.00,17.20
