W/B,MK,B,SP,UV,E
0.4,0,50,2,4070,27.442
0.4,0,50,2,4016.67,24.325
0.4,0,50,2,4053.33,24.875
0.4,0,50,2,4100,27.754
0.4,0,50,2,4076.67,27.249
0.4,0,50,2,4040,26.476
0.4,0,50,2,4090,28.976
0.4,0,50,2,4016.67,24.325
0.4,0,30,2,4006.67,25.69
0.4,0,30,2,4080,25.765
0.4,0,30,2,4040,29.371
0.41,5,31,2,3900,13.197
0.42,5,32,2,3900,12.005
0.43,5,33,2,4053.33,24.16
0.44,5,34,2,4040,16.269
0.45,5,35,2,4016.67,14.179
0.4,5,50,2,3913.33,24.745
0.4,5,50,2,3931.67,24.16
0.4,5,50,2,3900,28.668
0.4,5,50,2,3980,26.747
0.4,5,50,2,3840,23.543
0.4,5,50,2,3900,28.434
0.4,5,50,2,3931.67,24.16
0.4,5,50,2,3810,26.746
0.4,3,30,2,4090,28.182
0.4,3,30,2,4053.33,28.644
0.4,3,30,2,4053.33,28.644
0.4,3,30,2,4070,28.36
0.4,3,30,2,4003.33,29.478
0.4,3,30,2,3966.67,28.36
0.4,3,30,2,4023.33,29.625
0.4,3,30,2,3986.67,26.791
0.4,10,50,2,3926.67,26.513
0.4,10,50,2,3831.67,23.159
0.4,10,50,2,3763.33,24.276
0.4,10,50,2,3810,25.168
0.4,10,50,2,3873.33,26.876
0.4,10,50,2,3831.67,23.159
0.4,10,50,2,3746.67,23.733
0.4,10,50,2,3756.67,27.914
0.4,6,30,2,3886.67,25.695
0.4,6,30,2,3820,26.582
0.4,6,30,2,3906.67,26.781
0.4,6,30,2,3880,25.12
0.4,6,30,2,3903.33,25.578
0.4,6,30,2,3863.33,26.992
0.4,6,30,2,3886.67,25.695
0.4,6,30,2,3890,26.798
0.7,0,50,0,3523.33,15.884
0.7,0,50,0,3353.33,12.785
0.7,0,50,0,3333.33,16.654
0.7,0,50,0,3381.67,14.166
0.7,0,50,0,3356.67,13.71
0.7,0,50,0,3376.67,15.392
0.7,0,50,0,3381.67,14.166
0.7,0,30,0,3486.67,17.402
0.7,0,30,0,3670,20.87
0.7,0,30,0,3536.67,21.957
0.7,0,30,0,3343.33,14.697
0.7,0,30,0,3516.67,16.694
0.7,0,30,0,3486.67,15.622
0.7,0,30,0,3436.67,18.379
0.7,0,30,0,3413.33,15.28
0.7,5,50,0,3303.33,15.233
0.7,5,50,0,3406.67,13.865
0.7,5,50,0,3303.33,14.062
0.7,5,50,0,3333.33,13.197
0.7,5,50,0,3533.33,15.296
0.7,5,50,0,3383.33,12.73
0.7,5,50,0,3333.33,13.197
0.7,5,50,0,3373.33,13.913
0.7,3,30,0,3473.33,16.269
0.7,3,30,0,3530,15.24
0.7,3,30,0,3516.67,14.834
0.7,3,30,0,3473.33,14.138
0.7,3,30,0,3420,16.757
0.7,3,30,0,3493.33,15.356
0.7,3,30,0,3500,15.064
0.7,3,30,0,3446.67,14.515
0.7,10,50,0,3386.67,12.96
0.7,10,50,0,3396.67,13.138
0.7,10,50,0,3386.67,12.989
0.7,10,50,0,3416.67,14.179
0.7,10,50,0,3416.67,14.179
0.7,10,50,0,3386.67,13.626
0.7,10,50,0,3373.33,13.64
0.7,10,50,0,3426.67,14.144
0.7,6,30,0,3473.33,15.308
0.7,6,30,0,3466.67,16.008
0.7,6,30,0,3480,16.529
0.7,6,30,0,3423.33,16.929
0.7,6,30,0,3456.67,16.124
0.7,6,30,0,3440,15.525
0.7,6,30,0,3446.67,17.725
0.7,6,30,0,3400,20.365
1,0,50,0,2996.67,11.08
1,0,50,0,3076.67,12.005
1,0,50,0,3216.67,15.598
0.7,10,30,2,4023.33,12.73
0.7,10,30,2,3116.67,16.929
0.7,10,30,2,2996.67,17.725
0.7,10,30,0,4023.33,12.832
0.7,10,50,0,2896.67,13.138
1,3,50,0,3023.33,26.876
1,3,50,0,3473.33,16.269
1,3,50,2,4100,9.171
1,3,50,2,3880,11.56
1,3,30,2,4070,13.197
1,5,50,0,3040,10.686
1,5,50,0,2933.33,10.341
1,5,50,0,3010,11.803
1,3,30,0,3116.67,12.304
1,3,30,0,3350,12.832
1,3,30,0,3130,10.094
1,3,30,0,2993.33,10.735
1,3,30,0,3180,10.125
1,3,30,0,3006.67,11.474
1,3,30,0,3063.33,11.834
1,10,50,0,2906.67,10.029
1,10,50,0,2983.33,9.171
1,10,50,0,2896.67,10.271
1,10,50,0,3060,10.539
1,10,50,0,2890,9.072
1,10,50,0,3023.33,10.013
1,10,50,0,2930,9.515
1,10,50,0,2896.67,9.079
1,6,30,0,3070,12.034
1,6,30,0,3003.33,8.509
1,6,30,0,3013.33,9.197
1,6,30,0,3086.67,9.972
1,6,30,0,2926.67,9.338
1,6,30,0,3046.67,10.852
1,6,30,0,2986.67,11.56
1,6,30,0,2983.33,11.57
0.4,0,30,2,4100,25.679
0.4,0,30,2,4000,25.65
0.4,0,30,2,4070,27.577
0.4,0,30,2,4040,29.371
0.4,0,30,2,4063.33,28.145
1,0,50,0,3086.67,10.943
1,0,50,0,3026.67,12.352
1,0,30,0,3430,18.732
1,0,30,0,3233.33,14.212
1,0,30,0,3173.33,14.149
1,0,30,0,3083.33,12.74
1,5,50,0,3163.33,15.575
1,5,50,0,3230,13.224
1,5,50,0,3053.33,9.836
1,5,50,0,3180,11.299
